,0
0,abdominal_pain
1,abnormal_menstruation
2,acidity
3,acute_liver_failure
4,altered_sensorium
5,anxiety
6,back_pain
7,belly_pain
8,blackheads
9,bladder_discomfort
10,blister
11,blood_in_sputum
12,bloody_stool
13,blurred_and_distorted_vision
14,breathlessness
15,brittle_nails
16,bruising
17,burning_micturition
18,chest_pain
19,chills
20,cold_hands_and_feets
21,coma
22,congestion
23,constipation
24,continuous_feel_of_urine
25,continuous_sneezing
26,cough
27,cramps
28,dark_urine
29,dehydration
30,depression
31,diarrhoea
32,distention_of_abdomen
33,dizziness
34,drying_and_tingling_lips
35,dyschromic_patches
36,enlarged_thyroid
37,excessive_hunger
38,extra_marital_contacts
39,family_history
40,fast_heart_rate
41,fatigue
42,fluid_overload
43,foul_smell_of_urine
44,headache
45,high_fever
46,hip_joint_pain
47,history_of_alcohol_consumption
48,increased_appetite
49,indigestion
50,inflammatory_nails
51,internal_itching
52,irregular_sugar_level
53,irritability
54,irritation_in_anus
55,itching
56,joint_pain
57,knee_pain
58,lack_of_concentration
59,lethargy
60,loss_of_appetite
61,loss_of_balance
62,loss_of_smell
63,malaise
64,mild_fever
65,mood_swings
66,movement_stiffness
67,mucoid_sputum
68,muscle_pain
69,muscle_wasting
70,muscle_weakness
71,nausea
72,neck_pain
73,nodal_skin_eruptions
74,obesity
75,pain_behind_the_eyes
76,pain_during_bowel_movements
77,pain_in_anal_region
78,painful_walking
79,palpitations
80,passage_of_gases
81,patches_in_throat
82,phlegm
83,polyuria
84,prominent_veins_on_calf
85,puffy_face_and_eyes
86,pus_filled_pimples
87,receiving_blood_transfusion
88,receiving_unsterile_injections
89,red_sore_around_nose
90,red_spots_over_body
91,redness_of_eyes
92,restlessness
93,runny_nose
94,rusty_sputum
95,scurring
96,shivering
97,silver_like_dusting
98,sinus_pressure
99,skin_peeling
100,skin_rash
101,slurred_speech
102,small_dents_in_nails
103,spinning_movements
104,spotting_urination
105,stiff_neck
106,stomach_bleeding
107,stomach_pain
108,sunken_eyes
109,sweating
110,swelled_lymph_nodes
111,swelling_joints
112,swelling_of_stomach
113,swollen_blood_vessels
114,swollen_extremeties
115,swollen_legs
116,throat_irritation
117,toxic_look
118,ulcers_on_tongue
119,unsteadiness
120,visual_disturbances
121,vomiting
122,watering_from_eyes
123,weakness_in_limbs
124,weakness_of_one_body_side
125,weight_gain
126,weight_loss
127,yellow_crust_ooze
128,yellow_urine
129,yellowing_of_eyes
130,yellowish_skin
131,prognosis
